tweet_id,created_at,username,text,likes,retweets,search_term,views,comments,is_parody 
97,2026-07-10,sultanfatih1905,@Kaganovic Reis azalt be dokunuyorsa,1.0,0.0,#Galatasaray,635.0,1.0,0.0
98,2026-07-10,Alp036268897262,Kağan dursun kim ya,0.0,0.0,#Galatasaray,209.0,0.0,0.0
99,2026-07-10,GalatasaraySK,Günaydın #Galatasaray Ailesi,8600.0,124.0,#Galatasaray,97400.0,149.0,0.0
100,2026-07-10,mustafa6598,"Bu çocuğu (Can Armando) oynatmaya başlamalısınız artık. Elimizde çok yetenekli ve iyi gençler var, ritimlerini bulunca, piyasadaki 50-100 milyonluklardan iyi oynıyor.",2.0,0.0,#Galatasaray,237.0,1.0,0.0
101,2026-07-10,DolphineOf87772,"Kiralık gidecek oyuncular ve gençlerin kiralanması konusu halledilmesi lazım. Boşuna kampta yer kaplamasınlar. Bu nelson nerde gidecekse gitsin, icardi konusu ne olacaksa açıklama yapın.",0.0,0.0,#Galatasaray,19.0,0.0,0.0
102,2026-07-10,ananis... (jigSAW),HALA TRANSFER YOK. YAĞLI SURAT VE SİMİTÇİ ÖNCE TRANSFERLERİ YAPIN SONRA DA İSTİFA EDİN. #DursunÖzbekIstifa #DursunÖzbekParalarNerede #DursunÖzbekTransferlerNerede #DursunÖzbekDurmasın,0.0,0.0,#Galatasaray,48.0,0.0,0.0
103,2026-07-10,Cimbomluuu,BAK YAPMANIZ GEREKEN BRUNO FERNANDES CURTIS JONES JOHN DURAN CALVIN BASSEY FERDİ KADIOĞLU OLURSA DA LEAO YA DA RASHFORD BU KADAR YAP DAHA SİZDEN TRANSFER İSTEMEYİZ,1.0,0.0,#Galatasaray,92.0,0.0,0.0
104,2026-07-10,MustafaCent62422,Arkadaki logolara bakarsak 6 transfer gelecek gibi geliyor bana,1.0,0.0,#Galatasaray,393.0,2.0,0.0
105,2026-07-10,Bir_OLusta,Şu görünen gençlerin hepsi çok yetenekli. Zaten o yetenek onlarda olmasa orada olmazlardı. Bu gençlerde eksik olan şey hırs. Futbolda hırs çok geçerli.,0.0,0.0,#Galatasaray,71.0,0.0,0.0
106,2026-07-10,surgeon2134,Millet yıldız atsın siz Okuşuku alın. Bakalım çuku ne zaman tutturacaklar. Transferler nerede ??,0.0,0.0,#Galatasaray,5.0,0.0,0.0
107,2026-07-10,fztsemihatci,işiniz gücünüz günaydın başka bir halt yok,1.0,0.0,#Galatasaray,562.0,1.0,0.0
108,2026-07-10,freetoprak,Yeterli görülen kadro 3 tane as oyuncu yok şu fotoda,0.0,0.0,#Galatasaray,2.0,0.0,0.0
109,2026-07-10,hakoooesas,Transferde bile referans oluyor bu adamın yanına iyi bir kanat 10 numara ve forvet alın yapmak zorundasınız bunu,15.0,0.0,#Galatasaray,226.0,0.0,0.0
110,2026-07-10,Rza288620R,Uğochukwu istemiyoruz çöp adama o kadar para verilmez @GalatasaraySK,1.0,0.0,#Galatasaray,100.0,0.0,0.0
111,2026-07-10,ieroysane3e,Transferler nerede ? Limit felan tanımayın zaten cezası 7 milyoncuk,8.0,0.0,#Galatasaray,200.0,0.0,0.0
112,2026-07-10,ErdoganKad92948,Günaydın canaçazım. Özledim sesinli nefesinii özledim. #Galatasaray #Hedef27 yükleniyor Fikstürü çok beğendimm,2.0,0.0,#Galatasaray,271.0,0.0,0.0
113,2026-07-10,mhnymr,Olise duruyor orada biz ne izliyoruz,0.0,0.0,#Galatasaray,39.0,0.0,0.0
114,2026-07-10,gorkemulus1905,Admin transfer sandım,1.0,0.0,#Galatasaray,380.0,0.0,0.0
115,2026-07-10,Pcottof1905,Lesley'i kimse beğenmemişti bir kerede tartışmasız birine gidin ya,0.0,0.0,#Galatasaray,100.0,0.0,0.0
116,2026-07-10,aslanhaber_,Lesley Ugochukwu ile anlaşma sağlandı. Burnley'e kiralama bedeli olarak 2M€ ödenecek. Oyuncu belli bir maç sayısına ulaşması halinde satın alma maddesi devreye girecek.,1.0,0.0,#Galatasaray,448.0,0.0,0.0
117,2026-07-10,alioksuz87,"Erden Timur gittiğinden beri transfer aklı, planı yok kulübün. İnsanlar Ağustos'ta, Eylül'de bunları konuşmayalım diye eleştiriyor. Yönetim yine 1-2 transferle geçiştirme, tatilkolik Icardi ile devam ettirdi. Son gün birlikte milyonları görmeyeliz.",3.0,0.0,#Galatasaray,172.0,0.0,0.0
118,2026-07-10,zfvynk,Yapacağınız işe sokayım. Icardi ile kontrat falan da uzatmayın Dursun ve Abdullah bu sene sonunu görmez,0.0,0.0,#Galatasaray,41.0,0.0,0.0
119,2026-07-10,bwCaT_GS,"Lesley BABAAAAAAAA, VARDI BABA NASILDA ÇÖZDÜ 2 GÜNDE. ABDULLAH KAVUKÇU EFENDİİİ, KALK O KOLTUKTAN, BÜYÜĞÜN GELDİ",3.0,0.0,#Galatasaray,353.0,0.0,0.0
